home_team,away_team,home_score,away_score,year
Wales,Italy,23,15,2014
France,England,26,24,2014
Ireland,Scotland,28,6,2014
Ireland,Wales,26,3,2014
Scotland,England,0,20,2014
France,Italy,30,10,2014
Wales,France,27,6,2014
Italy,Scotland,20,21,2014
England,Ireland,13,10,2014
Ireland,Italy,46,7,2014
Scotland,France,17,19,2014
England,Wales,29,18,2014
Italy,England,11,52,2014
Wales,Scotland,51,3,2014
France,Ireland,20,22,2014
Wales,England,16,21,2015
Italy,Ireland,3,26,2015
France,Scotland,15,8,2015
England,Italy,47,17,2015
Ireland,France,18,11,2015
Scotland,Wales,23,26,2015
Scotland,Italy,19,22,2015
France,Wales,13,20,2015
Ireland,England,19,9,2015
Wales,Ireland,23,16,2015
England,Scotland,25,13,2015
Italy,France,0,29,2015
Italy,Wales,20,61,2015
Scotland,Ireland,10,40,2015
England,France,55,35,2015
France,Italy,23,21,2016
Scotland,England,9,15,2016
Ireland,Wales,16,16,2016
France,Ireland,10,9,2016
Wales,Scotland,27,23,2016
Italy,England,9,40,2016
Wales,France,19,10,2016
Italy,Scotland,20,36,2016
England,Ireland,21,10,2016
Ireland,Italy,58,15,2016
England,Wales,25,21,2016
Scotland,France,29,18,2016
Wales,Italy,67,14,2016
Ireland,Scotland,35,25,2016
France,England,21,31,2016
Scotland,Ireland,27,22,2017
England,France,19,16,2017
Italy,Wales,7,33,2017
Italy,Ireland,10,63,2017
Wales,England,16,21,2017
France,Scotland,22,16,2017
Scotland,Wales,29,13,2017
Ireland,France,19,9,2017
England,Italy,36,15,2017
Wales,Ireland,22,9,2017
Italy,France,18,40,2017
England,Scotland,61,21,2017
Scotland,Italy,29,0,2017
France,Wales,20,18,2017
Ireland,England,13,9,2017
